CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MOGI DAS CRUZES,SUZANO,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,SUZANO,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI DAS CRUZES,SUZANO,9608A,VIAÇÃO COMETA S/A,SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM),Rodoviária Litorânea
MOGI DAS CRUZES,TAUBATÉ,9541A,VIAÇÃO COMETA S/A,SAO BERNARDO DO CAMPO - APARECIDA,Rodoviária Litorânea
MOGI GUAÇU,MOJI MIRIM,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,4384A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - MOGI GUACU,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,6950A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - SANTO ANTONIO JARDIM,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,7964A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - ESPIRITO SANTO PINHAL,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,8079A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - ESPIRITO SANTO PINHAL,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,8079B,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - ESPIRITO SANTO PINHAL,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
MOGI GUAÇU,MOJI MIRIM,5218A,VIACAO SC MIRIM GUACU LTDA,MOJI MIRIM - MOGI GUACU,Semiurbana
MOGI GUAÇU,SANTO ANDRÉ,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,SANTO ANTÔNIO DO JARDIM,6950A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - SANTO ANTONIO JARDIM,Rodoviária Convencional
MOGI GUAÇU,SÃO BERNARDO DO CAMPO,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,SÃO CAETANO DO SUL,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,SÃO JOÃO DA BOA VISTA,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,SÃO JOÃO DA BOA VISTA,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
MOGI GUAÇU,SÃO JOÃO DA BOA VISTA,6144A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MOGI GUAÇU,SÃO JOÃO DA BOA VISTA,8359A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - CAMPINAS,Rodoviária Convencional
MOGI GUAÇU,SÃO JOÃO DA BOA VISTA,8754A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MOGI GUAÇU,SÃO PAULO,0770A,VIAÇÃO COMETA S/A,SÃO PAULO (T.TIÊTE) - AGUAS DA PRATA,Rodoviária Convencional
MOGI GUAÇU,SÃO PAULO,2741A,VIAÇÃO SANTA CRUZ LTDA,AGUAI - SAO JOAO DA BOA VISTA,Rodoviária Convencional
MOGI GUAÇU,SÃO PAULO,6144A,VIAÇÃO SANTA CRUZ LTDA,SAO JOAO DA BOA VISTA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MOGI GUAÇU,SÃO PAULO,6950A,VIAÇÃO SANTA CRUZ LTDA,CAMPINAS - SANTO ANTONIO JARDIM,Rodoviária Convencional
