n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
4443;B;VB TRANSPORTES E TURISMO LTDA;1;CAMPINAS - CAPIVARI;Rodoviária Convencional;Ativa
4488;A;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - ITATIBA;Semiurbana;Ativa
4497;A;RAPIDO FENIX VIAÇÃO LTDA;1;LOUVEIRA - ITATIBA;Semiurbana;Ativa
4508;A;RAPIDO LUXO CAMPINAS LTDA;1;BOTUCATU - BOFETE;Rodoviária Convencional;Ativa
4535;A;RAPIDO LUXO CAMPINAS LTDA;1;RUBIAO JUNIOR - BOFETE;Rodoviária Convencional;Ativa
4545;A;RAPIDO LUXO CAMPINAS LTDA;1;BOTUCATU - TATUI;Rodoviária Convencional;Ativa
4568;A;RAPIDO LUXO CAMPINAS LTDA;1;BOTUCATU - PORANGABA;Rodoviária Convencional;Ativa
4569;A;RAPIDO LUXO CAMPINAS LTDA;1;BOFETE - TATUI;Rodoviária Convencional;Ativa
4596;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;PORTO FERREIRA - DESCALVADO;Rodoviária Convencional;Ativa
4597;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;AMERICANA - DESCALVADO;Rodoviária Convencional;Ativa
4629;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;LIMEIRA - DESCALVADO;Rodoviária Convencional;Ativa
4647;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;ARARAS - DESCALVADO;Rodoviária Convencional;Ativa
4656;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;LIMEIRA - ARARAS;Rodoviária Convencional;Ativa
4656;B;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;LIMEIRA - PORTO FERREIRA;Rodoviária Convencional;Ativa
4689;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - SANTA FE DO SUL;Rodoviária Convencional;Ativa
4689;B;AUTO VIAÇÃO BRAGANCA LTDA;1;BRAGANCA PAULISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
4719;A;RAPIDO FENIX VIAÇÃO LTDA;1;SÃO PAULO (T.TIÊTE) - AGUAS DE LINDOIA;Rodoviária Convencional;Ativa
4719;B;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - AGUAS DE LINDOIA;Rodoviária Convencional;Ativa
4719;C;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - SAO BERNARDO DO CAMPO;Rodoviária Convencional;Ativa
4720;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - POSTO RODOSERV;Rodoviária Convencional;Ativa
4720;B;EMPRESA PRINCESA DO NORTE S/A;3;SANTA CRUZ RIO PARDO - POSTO RODOSERV;Rodoviária Convencional;Ativa
4721;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
4736;A;EMPRESA PRINCESA DO NORTE S/A;3;SANTA CRUZ RIO PARDO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
4749;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - SAO BERNARDO DO CAMPO;Rodoviário Executivo;Ativa
4760;A;EMPRESA PRINCESA DO NORTE S/A;3;OURINHOS - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
4790;A;EMPRESA PRINCESA DO NORTE S/A;3;SANTA CRUZ RIO PARDO - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
4801;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;SAO PAULO - ITARARE;Rodoviária Convencional;Ativa
4832;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;SAO BERNARDO DO CAMPO - ITARARE;Rodoviária Convencional;Ativa
4842;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;SAO PAULO - ITARARE;Rodoviária Convencional;Ativa
4844;A;RAPIDO FENIX VIAÇÃO LTDA;1;BRAGANCA PAULISTA - JUNDIAI;Semiurbana;Ativa
4844;B;RAPIDO FENIX VIAÇÃO LTDA;1;BRAGANCA PAULISTA - ITATIBA;Semiurbana;Ativa
